poi_id,poi_name,poi_geometry,poi_lat,poi_lng,poi_cate,is_area,parent_poi_id,frame_n_total,is_focal
230.0,Fu Shan Viewing Point,POINT (113.8578233 22.2596763),22.2596763,113.8578233,outdoor,0,,1,0
231.0,Fu Wah Café,POINT (114.1699541 22.3138241),22.3138241,114.1699541,dining,0,,19,0
232.0,Fuk Wa Camera,POINT (114.1632065 22.3308456),22.3308456,114.1632065,shopping,0,,5,0
233.0,Fuk Wing St,POINT (114.1596135 22.3343982),22.3343982,114.1596135,city,0,,2,0
234.0,GARDENEast,POINT (114.172693 22.274771),22.274771,114.172693,hotel,0,,1,0
235.0,GENERAL PURPOSE HK,POINT (114.1851092 22.2821475),22.2821475,114.1851092,shopping,0,,6,0
236.0,Gage St,POINT (114.1533568 22.2833501),22.2833501,114.1533568,city,0,,6,0
237.0,Garden Rd,POINT (114.1583259 22.2776181),22.2776181,114.1583259,city,0,,6,0
238.0,Gen Ji Street Restaurant,POINT (114.1628214 22.3273255),22.3273255,114.1628214,dining,0,,1,0
239.0,Giant Panda Adventure,POINT (114.1766509 22.2455794),22.2455794,114.1766509,entertainment,0,,7,0
240.0,Ginza Square,POINT (114.170164 22.3146331),22.3146331,114.170164,city,0,,3,0
242.0,Gold Garden Restaurant,POINT (114.156725 22.338358),22.338358,114.156725,dining,0,,3,0
243.0,Golden Bauhinia Square,POINT (114.1739009 22.284425),22.284425,114.1739009,city,0,,73,0
244.0,Golden Beach,POINT (113.9880307 22.372233),22.372233,113.9880307,natural,0,,3,0
245.0,Golden Crocus Inn,POINT (114.0391521 22.3122329),22.3122329,114.0391521,dining,0,,34,0
246.0,Goldfish Street,POINT (114.1698464 22.3229673),22.3229673,114.1698464,shopping,0,,3,0
247.0,Graham St,POINT (114.1535824 22.283043),22.283043,114.1535824,city,0,,16,0
248.0,Grand Fortune Mansion,POINT (114.1267959 22.2835844),22.2835844,114.1267959,city,0,,1,0
249.0,Grand Hyatt,POINT (114.1721379 22.2814073),22.2814073,114.1721379,hotel,0,,14,0
250.0,Grand Plaza,POINT (114.169364 22.3181205),22.3181205,114.169364,shopping,0,,21,0
251.0,Granville Rd,POINT (114.1749756 22.3002167),22.3002167,114.1749756,city,0,,11,0
252.0,Gresson St,POINT (114.1698546 22.2764167),22.2764167,114.1698546,city,0,,1,0
253.0,Grizzly Gulch,POINT (114.0420894 22.3101633),22.3101633,114.0420894,entertainment,0,,39,0
254.0,Gwing Kee Roasted,POINT (114.1714547 22.2972036),22.2972036,114.1714547,dining,0,,3,0
255.0,HAIKA Coffee,POINT (114.0285086 22.209694),22.209694,114.0285086,dining,0,,2,0
256.0,HKU Station,POINT (114.1368637 22.2856322),22.2856322,114.1368637,transit,0,,3,0
257.0,HKUGA Primary School,POINT (114.2396209 22.2656129),22.2656129,114.2396209,school,0,,2,0
258.0,HSBC Building,POINT (114.1593865 22.2802222),22.2802222,114.1593865,city,0,,11,0
259.0,HZMB Hong Kong Port,POINT (113.95105 22.31614),22.31614,113.95105,transit,0,,2,0
260.0,Haiphong Rd,POINT (114.1704789 22.2980568),22.2980568,114.1704789,city,0,,18,0
261.0,Haiphong Road Temporary Market,POINT (114.170111 22.2979078),22.2979078,114.170111,shopping,0,,4,0
262.0,Hak Dei,POINT (114.1681713 22.3196117),22.3196117,114.1681713,shopping,0,,1,0
263.0,Halfway Coffee,POINT (114.1497161 22.2847563),22.2847563,114.1497161,dining,0,,102,1
267.0,Hankow Rd,POINT (114.171143 22.2964221),22.2964221,114.171143,city,0,,16,0
268.0,Hanoi Rd,POINT (114.1733357 22.2972778),22.2972778,114.1733357,city,0,,23,0
269.0,Hao Tang Hao Mian,POINT (114.1774634 22.3762181),22.3762181,114.1774634,dining,0,,2,0
270.0,Happy Valley Racecourse,POINT (114.1806169 22.2718214),22.2718214,114.1806169,entertainment,0,,84,0
271.0,Harbour City,POINT (114.1688303 22.2953381),22.2953381,114.1688303,shopping,0,,127,1
272.0,Harbour Grand,POINT (114.1923311 22.302697),22.302697,114.1923311,hotel,0,,42,0
273.0,Harbour Inn Cuisine,POINT (114.1718661 22.2968227),22.2968227,114.1718661,dining,0,,3,0
274.0,Harbour Kitchen,POINT (114.1729032 22.2810541),22.2810541,114.1729032,dining,0,,3,0
275.0,Harbour North,POINT (114.2009297 22.2928256),22.2928256,114.2009297,shopping,0,,3,0
276.0,Harbour Plaza 8 Degrees,POINT (114.1906691 22.3229344),22.3229344,114.1906691,hotel,0,,4,0
277.0,Harbour Plaza Resort City,POINT (114.0043749 22.4575256),22.4575256,114.0043749,hotel,0,,2,0
278.0,Hashtag B,POINT (114.1838448 22.2783292),22.2783292,114.1838448,dining,0,,144,1
279.0,Hau Fook St,POINT (114.1736496 22.2994345),22.2994345,114.1736496,city,0,,13,0
280.0,Hau Wo St,POINT (114.1269576 22.2826726),22.2826726,114.1269576,city,0,,3,0
281.0,Hay Wong Dim Sum,POINT (114.170184 22.314126),22.314126,114.170184,dining,0,,3,0
282.0,Hazukido,POINT (114.176772 22.276778),22.276778,114.176772,dining,0,,2,0
283.0,HeSheEat,POINT (114.1713301 22.3192714),22.3192714,114.1713301,dining,0,,12,0
284.0,Hennessy Rd,POINT (114.1766036 22.278023),22.278023,114.1766036,city,0,,19,0
285.0,High Junk Peak,POINT (114.2833333 22.3),22.3,114.2833333,outdoor,0,,3,0
