poi_id,poi_name,poi_cate,journey_n_total,stop_n_total,avg_stop_sentiment,frame_n_total,is_focal,top_market,top_inbound_poi_id,top_inbound_poi_name,top_outbound_poi_id,top_outbound_poi_name,top_companion_poi_id,top_companion_poi_name,city_sentiment_rank,category_sentiment_rank
157.0,Cross Harbour Tunl,Transit,18,18,0.3323289597820904,21,0,PH,101.0,Central,296.0,Hong Kong Disneyland,101.0,Central,,
1030.0,Yue Po Chai Antique Co.,Shopping,18,19,0.4297660995078714,21,0,TH,291.0,Hollywood Rd,101.0,Central,291.0,Hollywood Rd,,
664.0,Repulse Bay Beach,Natural,17,18,0.8075879889505881,21,0,TH,296.0,Hong Kong Disneyland,663.0,Repulse Bay,300.0,Hong Kong International Airport,,
501.0,Main Street USA,Entertainment,14,16,0.6883657640428282,21,0,JP,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
247.0,Graham St,Cityscape,17,17,0.6008369396714603,20,0,TH,101.0,Central,295.0,Hong Kong Cultural Centre,101.0,Central,,
828.0,Taikoo Place,Cityscape,12,12,0.5505306071468762,20,0,PH,296.0,Hong Kong Disneyland,944.0,Victoria Harbour,296.0,Hong Kong Disneyland,,
618.0,Peking Garden,Dining,8,8,0.876926760781895,20,0,PH,944.0,Victoria Harbour,128.0,Chi Lin Nunnery,296.0,Hong Kong Disneyland,,
308.0,Hong Kong Ocean Park Marriott Hotel,Hotel,6,6,0.5139248615091361,20,0,US,295.0,Hong Kong Cultural Centre,179.0,Disney Explorers Lodge,179.0,Disney Explorers Lodge,,
49.0,Barker Rd,Cityscape,19,19,0.6883240493112489,19,0,PH,873.0,The Peak Tram,946.0,Victoria Peak,873.0,The Peak Tram,,
92.0,Carnarvon Rd,Cityscape,18,18,0.6638685430710515,19,0,TH,278.0,Hashtag B,46.0,Bakehouse (Wan Chai),300.0,Hong Kong International Airport,,
397.0,King's Rd,Cityscape,18,18,0.5390586502229174,19,0,PH,307.0,Hong Kong Observation Wheel,546.0,Monster Building,540.0,Mong Kok,,
467.0,Lippo Centre,Cityscape,18,18,0.47101646899763083,19,0,ID,101.0,Central,101.0,Central,296.0,Hong Kong Disneyland,,
493.0,Macdonnell Rd,Cityscape,18,18,0.4633368957373831,19,0,ID,873.0,The Peak Tram,946.0,Victoria Peak,873.0,The Peak Tram,,
311.0,Hong Kong Railway Museum,Cultural,14,14,0.5575899896877152,19,0,PH,218.0,Fo Tan,946.0,Victoria Peak,733.0,Sky 100,,
900.0,Transformers The Ark,Dining,14,14,0.8579143491529283,19,0,PH,296.0,Hong Kong Disneyland,96.0,Causeway Bay,886.0,Times Square,,
972.0,Water World,Entertainment,10,14,0.7441825436295143,19,0,PH,598.0,Ocean Park,598.0,Ocean Park,598.0,Ocean Park,,
939.0,Upper Lascar Row,Shopping,9,9,0.6386692264565714,19,0,MY,721.0,Sheung Wan,506.0,Man Mo Temple,506.0,Man Mo Temple,,
812.0,Tai On Coffee & Tea Shop,Dining,8,8,0.6772142428089865,19,0,US,525.0,Mido Café,446.0,Lan Fong Yuen,446.0,Lan Fong Yuen,,
954.0,Vivienne Westwood Café,Dining,8,8,0.8348969531555971,19,0,TH,96.0,Causeway Bay,90.0,Carbone,96.0,Causeway Bay,,
1036.0,Yun Ping Rd,Cityscape,8,8,0.5516399766008059,19,0,ID,96.0,Causeway Bay,46.0,Bakehouse (Wan Chai),96.0,Causeway Bay,,
398.0,Kings Hotel,Hotel,7,7,0.5616368314476459,19,0,TH,946.0,Victoria Peak,,,946.0,Victoria Peak,,
597.0,Ocean Pacific,Dining,7,9,0.4151486779252688,19,0,VN,260.0,Haiphong Rd,260.0,Haiphong Rd,1013.0,Yau Ma Tei,,
23.0,Apliu St,Cityscape,6,7,0.6968359367533045,19,0,ID,98.0,Causeway Bay Station,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,,
472.0,Lo Wu,area,6,6,0.7333868038482391,19,0,TH,101.0,Central,148.0,Citywalk,101.0,Central,,
88.0,Cape D'Aguilar,Natural,4,4,0.6679634477810136,19,0,AU,,,804.0,Tai O,189.0,Dragon's Back,,
824.0,Tai Wo Tang Café,Dining,3,3,0.4765673683956266,19,0,CA,372.0,Kam Ming Noodles,,,372.0,Kam Ming Noodles,,
718.0,Sheraton Hong Kong Hotel & Towers,Hotel,18,18,0.6219645390907923,18,0,TH,296.0,Hong Kong Disneyland,433.0,LEGOLAND Discovery Centre,300.0,Hong Kong International Airport,,
192.0,Duddell's,Dining,16,16,0.8089779708534479,18,0,TH,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,,
923.0,Tuen Mun,area,15,15,0.43128671987603107,18,0,PH,300.0,Hong Kong International Airport,598.0,Ocean Park,913.0,Tsing Ma Bridge,,
48.0,Bar Leone,Dining,8,8,0.7783965967595577,18,0,TH,101.0,Central,207.0,Eyebar,946.0,Victoria Peak,,
210.0,Fa Yuen Street Market,Shopping,8,8,0.7064315463815417,18,0,VN,295.0,Hong Kong Cultural Centre,246.0,Goldfish Street,37.0,Avenue Of Stars,,
1006.0,Xi Hotel,Hotel,8,10,0.7469885284081101,18,0,TH,907.0,Tsim Sha Tsui,296.0,Hong Kong Disneyland,907.0,Tsim Sha Tsui,,
197.0,East Coast Park Precinct,Cityscape,6,7,0.8149827711638951,18,0,AU,80.0,Cafe Match Box,101.0,Central,101.0,Central,,
930.0,Tung Lung Chau,Natural,2,2,0.8022249744218939,18,0,SG,834.0,Temple Street Night Market,546.0,Monster Building,137.0,Choi Hung Estate,,
125.0,Cheung Kong Center,Cityscape,17,17,0.4795971346252105,17,0,ID,873.0,The Peak Tram,873.0,The Peak Tram,946.0,Victoria Peak,,
1035.0,Yuen Po Street Bird Garden,Cityscape,17,17,0.9095214289777419,17,0,PH,310.0,Hong Kong Park,101.0,Central,565.0,Nan Lian Garden,,
4.0,2 Café,Dining,14,14,0.817309843642371,17,0,TH,46.0,Bakehouse (Wan Chai),296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
204.0,Entertainment Building,Shopping,14,14,0.6557686073439462,17,0,MY,96.0,Causeway Bay,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,,
947.0,Victoria Peak Garden,Cityscape,14,14,0.9038123924817357,17,0,GB,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
536.0,Mobile Softee,Dining,13,13,0.7704287550913599,17,0,PH,101.0,Central,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
528.0,Milk Café,Dining,11,12,0.8621740813056628,17,0,US,119.0,Cheung Chau,46.0,Bakehouse (Wan Chai),300.0,Hong Kong International Airport,,
569.0,Nelson St,Cityscape,8,12,0.4497413505023966,17,0,PH,436.0,Ladies' Market,436.0,Ladies' Market,146.0,Citygate Outlets,,
