video_date,video_n,journey_n,avg_journey_sentiment,avg_journey_sentiment_frame,avg_stops_per_journey,total_stop_n,unique_poi_n,avg_stop_sentiment,total_edge_n
2025-03-19,117,117,0.7684291160948308,0.7703786458535002,1.7777777777777777,208,76,0.7220272788995713,91
2025-03-20,120,120,0.7952916799356358,0.7992586341420863,2.1416666666666666,257,74,0.7898868825595522,137
2025-03-21,116,116,0.7832941103645827,0.7890561663750061,2.103448275862069,244,80,0.7714634105961677,128
2025-03-22,138,138,0.793195708489136,0.7911740610443859,2.181159420289855,301,90,0.775259986747728,163
2025-03-23,160,160,0.7934061130692435,0.7955453426802339,2.30625,369,85,0.7331429091553442,209
2025-03-24,166,166,0.7515965642471713,0.7589527713640633,2.3373493975903616,388,101,0.7407851172656312,222
2025-03-25,124,124,0.7987888243600089,0.8054522278533267,2.338709677419355,290,75,0.7309121152885187,166
2025-03-26,136,136,0.7970840576435199,0.8003289393015337,2.088235294117647,284,91,0.782665880704219,148
2025-03-27,130,130,0.8129343281000525,0.8122704729789118,1.876923076923077,244,69,0.7909802272432599,114
2025-03-28,117,117,0.7889096145892515,0.7929160795215364,2.3333333333333335,273,76,0.7722988662654305,156
2025-03-29,126,126,0.7896066071948893,0.7950256520330753,2.4761904761904763,312,97,0.7719416341830867,186
2025-03-30,114,114,0.7972239464671497,0.7933060694715128,2.3333333333333335,266,77,0.765460436129465,152
2025-03-31,123,123,0.8070198439715184,0.807323233381401,2.1707317073170733,267,70,0.7994486459368921,144
2025-04-01,142,142,0.777634481267904,0.7784330152438977,2.23943661971831,318,82,0.7556486323635468,176
2025-04-02,123,123,0.76081816023021,0.7656610501056831,2.292682926829268,282,86,0.746062398581882,159
2025-04-03,126,126,0.7824093603444097,0.7866501088701499,2.7222222222222223,343,96,0.7616844150630023,217
2025-04-04,135,135,0.7736673430531146,0.7787833526440773,2.511111111111111,339,90,0.7269334810450042,204
2025-04-05,156,156,0.7661825677485083,0.7692620813677989,2.33974358974359,365,94,0.7484924809529615,209
2025-04-06,146,146,0.8119936808711576,0.8152443157135956,1.8767123287671232,274,71,0.7731414163051277,128
2025-04-07,126,126,0.7953837750056222,0.8008510595099755,1.9682539682539681,248,67,0.7546966519922876,122
2025-04-08,121,121,0.7926513508340471,0.8022366459353522,2.1818181818181817,264,69,0.7446889130319274,143
2025-04-09,156,156,0.7591954638670532,0.7615756539970098,2.5128205128205128,392,104,0.7513974500976284,236
2025-04-10,126,126,0.7750417076786373,0.7793659426612398,2.0714285714285716,261,82,0.7436464304432929,135
2025-04-11,116,116,0.7906355256559837,0.796440962779482,2.043103448275862,237,73,0.7687944204851541,121
2025-04-12,139,139,0.7693505939119203,0.7762181058835763,2.460431654676259,342,92,0.7421450288773408,203
2025-04-13,118,118,0.7581125956939929,0.7620168601674402,1.8898305084745763,223,57,0.7589865839197605,105
2025-04-14,114,114,0.7789999307396512,0.7791657999844763,2.0964912280701755,239,78,0.7563833605552402,125
2025-04-15,123,123,0.764368076558438,0.7738663044918467,2.1463414634146343,264,87,0.7340220055721236,141
2025-04-16,119,119,0.7775402845517406,0.7763028849212845,2.2184873949579833,264,71,0.7757864374183422,145
2025-04-17,122,122,0.8220462765097605,0.8311590732082907,2.0245901639344264,247,84,0.7893650041273649,125
2025-04-18,132,132,0.805259618823241,0.8073324488271044,1.9242424242424243,254,74,0.7900685037412679,122
2025-04-19,129,129,0.7849921786876969,0.794471457275259,1.9689922480620154,254,73,0.7568386937966581,125
2025-04-20,138,138,0.8128305547367652,0.8146639754488357,2.289855072463768,316,90,0.7783008324845414,178
2025-04-21,145,145,0.8041481360521826,0.8078452540310939,1.8275862068965518,265,72,0.7854899984852404,120
2025-04-22,133,133,0.7663872250004822,0.772775985391992,1.8345864661654134,244,76,0.7534516357275453,111
2025-04-23,144,144,0.8026073713281087,0.8076303989969754,2.1666666666666665,312,96,0.7751877304592066,168
2025-04-24,131,131,0.8124255687830573,0.8174959378149209,2.33587786259542,306,90,0.7653615657153405,175
2025-04-25,137,137,0.7844506350152943,0.7878621106409217,1.9854014598540146,272,81,0.7550337650522394,135
2025-04-26,133,133,0.8152252351089336,0.8208820931914501,1.9473684210526316,259,55,0.7902291856029207,126
2025-04-27,127,127,0.8196122222508687,0.821795562897754,1.8818897637795275,239,68,0.7893467748013493,112
2025-04-28,150,150,0.7735987006356031,0.7793201603021533,1.96,294,86,0.731741600922393,144
2025-04-29,119,119,0.782653485235455,0.7821794340068385,2.2184873949579833,264,82,0.7737739878505849,145
