video_date,poi_cate,journey_n,stop_n,avg_stop_sentiment
2023-05-11,Transit,2,2,0.5706304460763931
2023-05-11,area,1,1,0.39603322744369507
2023-05-12,Cityscape,1,4,0.9143578410148621
2023-05-12,Dining,1,1,0.765204668045044
2023-05-12,Entertainment,1,1,0.9570549726486206
2023-05-12,Natural,1,1,0.9099029898643494
2023-05-12,area,1,1,0.9356908798217773
2023-05-14,Entertainment,1,1,0.9591853835365989
2023-05-14,Religious,1,2,0.9289391140143077
2023-05-14,Transit,1,2,0.27634656317532064
2023-05-14,area,1,2,0.2780399499461055
2023-05-15,Cityscape,1,2,0.9141910374164581
2023-05-15,Cultural,1,1,0.8768820762634277
2023-05-15,Entertainment,1,2,0.9417244344949722
2023-05-15,Hotel,1,1,0.9010092318058014
2023-05-15,Natural,1,2,0.9054838716983795
2023-05-15,Outdoor,1,1,0.9297528862953186
2023-05-15,Religious,1,2,0.8877677619457245
2023-05-15,Transit,1,1,0.1040150448679924
2023-05-15,area,2,2,0.39169710041184364
2023-05-16,Hotel,1,1,0.6645928621292114
2023-05-17,Natural,1,1,0.9307349324226379
2023-05-18,Cityscape,1,1,0.6169508099555969
2023-05-18,Hotel,1,3,0.578308874120315
2023-05-18,Transit,6,8,0.4580680592916906
2023-05-18,area,1,1,0.895440936088562
2023-05-19,Cityscape,1,1,0.894997239112854
2023-05-19,Cultural,1,1,0.44614753127098083
2023-05-19,Entertainment,1,3,0.5790318383110894
2023-05-19,Religious,1,1,0.2754896283149719
2023-05-19,Transit,1,1,0.43731752783060074
2023-05-20,Cultural,1,1,0.43501487374305725
2023-05-20,Entertainment,2,4,0.9166459069764685
2023-05-20,Shopping,1,1,0.4464525580406189
2023-05-20,Transit,1,1,0.3318563997745514
2023-05-20,area,1,1,0.12683668732643127
2023-05-21,Cityscape,1,3,0.7013631165027618
2023-05-21,Cultural,1,1,0.5804399698972702
2023-05-21,Hotel,1,1,0.8906849324703217
2023-05-21,Natural,1,2,0.8456649879614513
2023-05-21,Shopping,1,3,0.6340785423914591
2023-05-21,area,1,6,0.6739320825371476
2023-05-22,Cityscape,1,1,0.9770316481590271
2023-05-22,Dining,1,4,0.7961689357956251
2023-05-22,Hotel,1,1,0.1343614161014557
2023-05-22,Shopping,2,4,0.5719941143567363
2023-05-23,Cultural,1,1,0.8134398460388184
2023-05-23,Entertainment,1,2,0.9073936492204666
2023-05-23,Hotel,1,1,0.6702175140380859
2023-05-23,Shopping,2,4,0.9009902700781822
