video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-05-02,Natural,Entertainment,1
2023-05-02,Outdoor,Cityscape,1
2023-05-02,Outdoor,Outdoor,1
2023-05-02,Religious,Natural,1
2023-05-02,Transit,Dining,1
2023-05-02,Transit,Entertainment,1
2023-05-03,Cityscape,Cultural,1
2023-05-03,Cityscape,Shopping,1
2023-05-03,Cityscape,Transit,1
2023-05-03,Cultural,Cityscape,1
2023-05-03,Dining,Cityscape,1
2023-05-03,Entertainment,Natural,1
2023-05-03,Entertainment,Transit,2
2023-05-03,Transit,Cityscape,1
2023-05-03,Transit,Entertainment,1
2023-05-03,area,Dining,1
2023-05-04,Entertainment,Hotel,1
2023-05-05,Cityscape,Cultural,1
2023-05-05,Cityscape,Religious,1
2023-05-05,Cultural,area,1
2023-05-05,Entertainment,Cityscape,1
2023-05-05,area,Cityscape,1
2023-05-06,Shopping,Transit,1
2023-05-06,area,Dining,1
2023-05-07,Entertainment,Entertainment,5
2023-05-07,Entertainment,Shopping,1
2023-05-07,Shopping,Entertainment,1
2023-05-08,Cultural,Cityscape,1
2023-05-08,Cultural,Entertainment,1
2023-05-08,Entertainment,Cultural,2
2023-05-09,Dining,Shopping,1
2023-05-09,Shopping,Dining,1
2023-05-10,Hotel,Shopping,1
2023-05-10,Natural,Hotel,1
2023-05-10,Religious,Natural,1
2023-05-10,Religious,Shopping,1
2023-05-10,Shopping,Transit,1
2023-05-10,Shopping,area,2
2023-05-10,area,Natural,1
2023-05-11,Cityscape,Entertainment,1
2023-05-11,Entertainment,Cityscape,1
2023-05-11,Hotel,Transit,1
2023-05-11,Transit,Cityscape,1
2023-05-11,Transit,area,1
2023-05-12,Cityscape,Cityscape,3
2023-05-12,Cityscape,Entertainment,1
2023-05-12,Entertainment,area,1
2023-05-14,Religious,Religious,1
2023-05-14,Religious,area,1
2023-05-14,Transit,Religious,1
2023-05-14,Transit,area,1
2023-05-14,area,Transit,1
2023-05-15,Cityscape,Cityscape,1
2023-05-15,Cultural,Natural,1
2023-05-15,Entertainment,Hotel,1
2023-05-15,Hotel,Entertainment,1
2023-05-15,Natural,Religious,2
2023-05-15,Religious,Natural,1
2023-05-15,Religious,Outdoor,1
2023-05-15,Transit,area,1
2023-05-18,Hotel,Hotel,1
2023-05-18,Hotel,Transit,2
2023-05-18,Transit,Cityscape,1
2023-05-18,Transit,Hotel,1
2023-05-18,Transit,Transit,1
2023-05-18,area,Hotel,1
2023-05-19,Cityscape,Entertainment,1
2023-05-19,Entertainment,Entertainment,1
2023-05-19,Entertainment,Religious,1
2023-05-19,Religious,Entertainment,1
2023-05-19,Transit,Cityscape,1
2023-05-20,Cultural,Transit,1
2023-05-20,Entertainment,Entertainment,2
2023-05-20,Shopping,area,1
2023-05-20,area,Cultural,1
2023-05-21,Cityscape,Cultural,1
2023-05-21,Cityscape,Natural,1
2023-05-21,Cityscape,area,1
2023-05-21,Cultural,area,1
2023-05-21,Hotel,area,1
2023-05-21,Natural,area,1
2023-05-21,Shopping,Cityscape,1
2023-05-21,Shopping,Hotel,1
2023-05-21,Shopping,Natural,1
2023-05-21,area,Cityscape,2
2023-05-21,area,Shopping,3
2023-05-21,area,area,1
2023-05-22,Cityscape,Hotel,1
2023-05-22,Dining,Dining,3
2023-05-22,Dining,Shopping,1
2023-05-22,Shopping,Cityscape,1
2023-05-22,Shopping,Shopping,2
2023-05-23,Cultural,Entertainment,1
2023-05-23,Entertainment,Shopping,2
2023-05-23,Hotel,area,1
2023-05-23,Shopping,Cultural,1
2023-05-23,Shopping,Shopping,1
2023-05-23,Shopping,Transit,1
2023-05-23,Transit,area,1
2023-05-23,area,Hotel,1
2023-05-23,area,Shopping,1
2023-05-24,Cityscape,Cityscape,1
2023-05-24,Cityscape,Dining,1
2023-05-24,Cityscape,Entertainment,1
2023-05-24,Cityscape,Hotel,1
2023-05-24,Cityscape,Shopping,1
2023-05-24,Cityscape,Transit,1
2023-05-24,Cultural,area,1
2023-05-24,Dining,Cityscape,1
2023-05-24,Dining,Dining,3
2023-05-24,Entertainment,Cityscape,1
2023-05-24,Hotel,Cityscape,1
2023-05-24,Hotel,Dining,1
2023-05-24,Natural,area,1
2023-05-24,Shopping,Transit,1
2023-05-24,Transit,Cultural,1
2023-05-24,area,Cityscape,2
2023-05-28,Entertainment,Dining,1
2023-05-29,Cityscape,Religious,1
2023-05-30,Cityscape,Entertainment,1
2023-05-30,Cultural,Cultural,1
2023-05-30,Dining,Cityscape,1
2023-05-30,Entertainment,Cultural,1
2023-05-30,Transit,Dining,1
2023-05-31,Cityscape,Cityscape,1
2023-05-31,Cityscape,Dining,1
2023-05-31,Dining,area,1
2023-05-31,Transit,Cityscape,1
2023-05-31,area,Cultural,1
2023-06-01,Cityscape,Cultural,1
2023-06-01,Cultural,Religious,1
2023-06-01,Natural,Outdoor,1
2023-06-01,Outdoor,Outdoor,1
2023-06-01,Religious,Natural,1
2023-06-01,area,Cityscape,2
